nohup: ignoring input
432
standard .xyz file  H288O144
H	11.2544770	21.7124000	7.9442821
H	11.2544770	20.7695850	9.2776231
O	20.2360590	12.9912970	15.6110405
H	20.2360680	13.9341170	15.2776977
H	21.0525690	12.5198950	15.2776977
O	11.2544770	20.7695750	18.3610770
H	10.4379670	20.2981730	18.6944198
H	11.2544680	21.7123940	18.6944198
O	4.5182910	11.6949170	11.9443252
H	3.7017900	12.1663350	11.6109824
H	5.3347920	12.1663350	11.6109824
O	4.5182910	11.6949170	14.6943617
H	4.5182910	11.6949060	13.6943484
H	4.5182910	10.7520920	15.0276894
O	9.0090820	19.4731950	7.3609310
H	9.0090910	18.5303750	7.6942738
H	9.8255920	19.9445970	7.6942738
O	4.5182910	16.8804360	15.6110405
H	5.3348020	16.4090340	15.2776977
H	4.5183000	17.8232550	15.2776977
O	4.5182910	16.8804360	11.0276464
H	4.5183000	16.8804300	10.0276331
H	5.3348020	16.4090230	11.3609741
O	17.9906640	11.6949170	7.3609310
H	17.9906540	11.6949220	6.3609178
H	17.1741530	12.1663300	7.6942588
O	17.9906640	11.6949170	19.2777559
H	17.9906730	10.7520970	18.9444131
H	18.8071740	12.1663190	18.9444131
O	9.0090820	19.4731950	19.2777559
H	8.1925710	19.9446070	18.9444281
H	9.0090730	19.4732000	20.2777691
O	6.7636870	7.8057780	11.9443252
H	6.7636870	6.8629530	11.6109975
H	6.7636870	7.8057680	12.9443385
O	6.7636870	7.8057780	14.6943617
H	6.7636770	6.8629580	15.0277045
H	5.9471760	8.2771800	15.0277045
O	11.2544770	7.8057780	19.2777559
H	10.4379760	8.2771960	18.9444131
H	12.0709790	8.2771960	18.9444131
O	15.7452680	20.7695750	18.3610770
H	14.9287670	20.2981570	18.6944198
H	16.5617690	20.2981570	18.6944198
O	15.7452680	20.7695750	8.2776099
H	14.9287670	20.2981570	7.9442671
H	16.5617690	20.2981570	7.9442671
O	11.2544770	7.8057780	7.3609310
H	11.2544680	6.8629580	7.6942738
H	10.4379670	8.2771800	7.6942738
O	11.2544770	15.5840560	4.6108945
H	11.2544870	14.6412360	4.2775518
H	12.0709880	16.0554580	4.2775518
O	6.7636870	20.7695750	15.6110405
H	5.9471760	20.2981730	15.2776977
H	6.7636770	21.7123940	15.2776977
O	6.7636870	20.7695750	11.0276464
H	5.9471760	20.2981730	11.3609891
H	6.7636770	21.7123940	11.3609891
O	11.2544770	15.5840560	22.0277923
H	10.4379760	16.0554740	22.3611351
H	12.0709790	16.0554740	22.3611351
O	13.4998730	11.6949170	22.0277923
H	13.4998820	11.6949220	21.0277791
H	14.3163830	12.1663300	22.3611201
O	17.9906640	9.1021580	18.3610770
H	17.9906730	9.1021530	17.3610637
H	18.8071740	8.6307450	18.6944048
O	17.9906640	9.1021580	8.2776099
H	18.8071740	8.6307560	7.9442671
H	17.9906730	10.0449780	7.9442671
O	11.2544770	23.3623340	14.6943617
H	11.2544770	23.3623230	13.6943484
H	11.2544770	22.4195090	15.0276894
O	13.4998730	11.6949170	4.6108945
H	13.4998820	10.7520970	4.2775518
H	14.3163830	12.1663190	4.2775518
O	11.2544770	23.3623340	11.9443252
H	11.2544680	22.4195140	11.6109824
H	10.4379670	23.8337360	11.6109824
O	15.7452680	7.8057780	7.3609310
H	14.9287670	8.2771960	7.6942738
H	16.5617690	8.2771960	7.6942738
O	15.7452680	15.5840560	4.6108945
H	15.7452680	14.6412310	4.2775668
H	15.7452680	15.5840450	5.6109078
O	20.2360590	12.9912970	18.3610770
H	20.2360590	12.9913070	17.3610637
H	20.2360590	13.9341220	18.6944048
O	15.7452680	15.5840560	22.0277923
H	15.7452770	15.5840610	21.0277791
